Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.argouml.uml.ui.foundation.core,UMLAssociationEndAggregationRadioButtonPanel,6,0.012903226,1,0.012903226,0,1,464,PureOverrider,PureSpecializer
org.argouml.persistence,AbstractFilePersister,2,2.1538463,14,30.153847,12,2,11,Extender,PureSpecializer
org.argouml.ui,AboutBox,6,0.0,0,0.0,0,0,443,Other,NoOvr
org.argouml.language.java.generator,ParseState,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
org.argouml.uml.cognitive.critics,CrMultipleShallowHistoryStates,3,0.15,4,0.6,1,3,77,Overrider,PureReplacer
org.argouml.uml.ui,ActionBaseDelete,4,0.48,3,1.4399999,1,2,23,Overrider,PureSpecializer
org.argouml.persistence,VersionException,5,0.0,0,0.0,0,0,21,Other,NoOvr
org.argouml.ui.explorer,ExplorerTree$ExplorerMouseListener,2,0.42105263,4,1.6842105,1,3,16,Overrider,PureReplacer
org.argouml.ui.explorer.rules,GoProjectToStateMachine,2,0.46153846,3,1.3846154,1,2,11,Overrider,PureSpecializer
org.argouml.language.java.generator,PackageCodePiece,3,1.0,6,6.0,0,6,12,PureOverrider,PureSpecializer
org.argouml.ui.explorer,ExplorerTreeModel,2,0.46153846,9,4.1538463,7,2,37,Extender,PureSpecializer
org.argouml.uml.ui,UMLComboBoxEntry,1,0.90909094,10,9.090909,9,1,10,Extender,PureReplacer
org.argouml.model,UndoDataTypesHelperDecorator,2,0.0,0,0.0,0,0,26,Other,NoOvr
org.argouml.model.uml,NSUMLEventListener,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr
org.argouml.uml,GenAncestorClasses,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.argouml.model.uml,ExplorerNSUMLEventAdaptor,2,0.48,6,2.8799999,6,0,25,PureExtender,NoOvr
org.argouml.uml.ui.behavior.state_machines,PropPanelSubmachineState,11,0.021400778,1,0.021400778,0,1,513,PureOverrider,PureSpecializer
org.argouml.uml.diagram.activity.ui,UMLActivityDiagram,4,1.0109891,23,23.252748,15,8,83,Extender,Equals
org.argouml.uml.ui.foundation.core,ActionSetGeneralizableElementAbstract,4,0.16,1,0.16,0,1,24,PureOverrider,PureSpecializer
org.argouml.model,UndoUmlHelperDecorator,2,0.0,0,0.0,0,0,16,Other,NoOvr
org.argouml.uml.ui.behavior.state_machines,ActionSetStubStateReferenceState,4,0.16,1,0.16,0,1,24,PureOverrider,PureSpecializer
org.argouml.uml.reveng.classfile,ClassfileTreeParser,2,1.2592592,17,21.407406,17,0,27,PureExtender,NoOvr
org.argouml.uml.ui.foundation.extension_mechanisms,PropPanelTagDefinition,8,0.031746034,2,0.06349207,1,1,503,Overrider,PureReplacer
org.argouml.uml.ui.foundation.core,UMLParameterDirectionKindRadioButtonPanel,6,0.012903226,1,0.012903226,0,1,464,PureOverrider,PureSpecializer
org.argouml.uml.ui.behavior.use_cases,PropPanelUseCase,10,0.0,0,0.0,0,0,527,Other,NoOvr
org.argouml.uml,Profile,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.argouml.language.java.generator,CodeGenerator,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.argouml.uml.diagram.static_structure.ui,CommentEdge,1,0.6363636,7,4.4545455,6,1,10,Extender,PureReplacer
org.argouml.uml.notation.uml,ActionStateNotationUml,3,0.69230765,3,2.076923,2,1,12,Extender,PureReplacer
org.argouml.uml,PredicateNotInTrash,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.argouml.uml.ui.behavior.common_behavior,PropPanelReception,8,0.0,0,0.0,0,0,504,Other,NoOvr
org.argouml.ui.explorer,PerspectiveComboBox,5,0.019305019,2,0.038610037,2,0,518,PureExtender,NoOvr
org.argouml.uml.ui.behavior.state_machines,UMLGuardTransitionListModel,4,0.121212125,2,0.24242425,0,2,64,PureOverrider,PureSpecializer
org.argouml.model.mdr,UmlHelperMDRImpl,1,1.3636364,15,20.454546,15,0,11,PureExtender,NoOvr
org.argouml.uml.cognitive.critics,CrCircularAssocClass,3,0.0375,1,0.0375,0,1,79,PureOverrider,PureReplacer
org.argouml.uml.ui.foundation.extension_mechanisms,ActionNewStereotype,5,0.18518518,1,0.18518518,0,1,26,PureOverrider,PureSpecializer
org.argouml.uml.ui.foundation.core,PropPanelRelationship,8,0.0,0,0.0,0,0,504,Other,NoOvr
org.argouml.uml.cognitive.critics,CrMergeClasses,3,0.0375,1,0.0375,0,1,79,PureOverrider,PureReplacer
org.argouml.uml.ui.foundation.core,PropPanelComponent,10,0.0,0,0.0,0,0,527,Other,NoOvr
org.argouml.uml.ui.behavior.use_cases,UMLExtendBaseListModel,4,0.121212125,2,0.24242425,0,2,64,PureOverrider,PureSpecializer
