Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.argouml.model.uml,CommonBehaviorFactoryImpl,2,7.8461537,51,400.15384,51,0,13,PureExtender,NoOvr,Blooming Class
org.argouml.uml.reveng.java,JavaRecognizer,3,6.105263,116,708.2105,115,1,56,Extender,PureSpecializer,Blooming Class
org.argouml.model,AbstractCoreHelperDecorator,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.uml,CoreHelperImpl,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.uml,NSUMLModelFacade,1,28.90909,318,9193.091,318,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,StateMachinesFactoryMDRImpl,2,8.5,51,433.5,51,0,12,PureExtender,NoOvr,Blooming Class
org.argouml.uml.reveng.idl,IDLParser,3,8.210526,156,1280.8422,156,0,57,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,CommonBehaviorFactoryMDRImpl,2,8.5,51,433.5,51,0,12,PureExtender,NoOvr,Blooming Class
org.argouml.language.cpp.reveng,CPPParser,3,6.263158,119,745.3158,119,0,57,PureExtender,NoOvr,Blooming Class
org.argouml.kernel,Project,1,6.3636365,70,445.45456,70,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,CoreFactoryMDRImpl,2,16.833334,101,1700.1667,101,0,12,PureExtender,NoOvr,Blooming Class
org.argouml.model.uml,CoreFactoryImpl,2,14.923077,97,1447.5385,97,0,13,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,CoreHelperMDRImpl,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,MetaTypesMDRImpl,1,7.2727275,80,581.8182,80,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.mdr,FacadeMDRImpl,1,28.727272,316,9077.818,316,0,11,PureExtender,NoOvr,Blooming Class
org.argouml.model.uml,StateMachinesFactoryImpl,2,8.0,52,416.0,52,0,13,PureExtender,NoOvr,Blooming Class
org.argouml.cognitive.critics,Critic,1,6.090909,67,408.0909,66,1,10,Extender,PureReplacer,Blooming Class
org.argouml.model.uml,MetaTypesImpl,1,7.2727275,80,581.8182,80,0,11,PureExtender,NoOvr,Blooming Class
