Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.argouml.persistence,AbstractFilePersister,2,2.1538463,14,30.153847,12,2,11,Extender,PureSpecializer,Budding Class
org.argouml.model.uml,CommonBehaviorFactoryImpl,2,7.8461537,51,400.15384,51,0,13,PureExtender,NoOvr,Budding Class
org.argouml.model,AbstractUseCasesHelperDecorator,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Budding Class
org.argouml.uml.reveng.java,JavaRecognizer,3,6.105263,116,708.2105,115,1,56,Extender,PureSpecializer,Budding Class
org.argouml.cognitive,ToDoList,2,3.7,37,136.90001,34,3,17,Extender,Specializer,Budding Class
org.argouml.kernel,MemberList,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,CollaborationsFactoryImpl,2,3.3846154,22,74.46154,22,0,13,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,StateMachinesHelperMDRImpl,1,3.6363637,40,145.45454,40,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model,AbstractCoreHelperDecorator,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Budding Class
org.argouml.language.cpp.reveng,ModelerImpl,1,3.5454545,39,138.27272,39,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model,AbstractCommonBehaviorHelperDecorator,1,2.8181818,31,87.36363,31,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,CoreHelperImpl,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Budding Class
org.argouml.uml.ui,UMLComboBoxModel2,2,3.3333333,30,100.0,27,3,15,Extender,PureSpecializer,Budding Class
org.argouml.cognitive,ToDoItem,1,2.5454545,28,71.27273,25,3,8,Extender,PureReplacer,Budding Class
org.argouml.model.uml,NSUMLModelFacade,1,28.90909,318,9193.091,318,0,11,PureExtender,NoOvr,Budding Class
org.argouml.model.mdr,StateMachinesFactoryMDRImpl,2,8.5,51,433.5,51,0,12,PureExtender,NoOvr,Budding Class
org.argouml.model.uml,UseCasesFactoryImpl,2,2.6153846,17,44.461536,17,0,13,PureExtender,NoOvr,Budding Class
