Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.argouml.model.uml,CommonBehaviorFactoryImpl,2,7.8461537,51,400.15384,51,0,13,PureExtender,NoOvr,Large Class
org.argouml.uml.ui,PropPanel,6,0.32608697,25,8.152174,24,1,459,Extender,PureSpecializer,Large Class
org.argouml.uml.diagram.state.ui,UMLStateDiagram,4,1.1428572,26,29.714287,18,8,83,Extender,Equals,Large Class
org.argouml.model,AbstractUseCasesHelperDecorator,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Large Class
org.argouml.uml.reveng.java,JavaRecognizer,3,6.105263,116,708.2105,115,1,56,Extender,PureSpecializer,Large Class
org.argouml.cognitive,ToDoList,2,3.7,37,136.90001,34,3,17,Extender,Specializer,Large Class
org.argouml.language.java.generator,JavaLexer,2,1.9344262,59,114.13114,59,0,61,PureExtender,NoOvr,Large Class
org.argouml.language.csharp.generator,GeneratorCSharp,2,1.3488373,29,39.11628,10,19,24,Overrider,PureSpecializer,Large Class
org.argouml.kernel,MemberList,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Large Class
org.argouml.model.mdr,StateMachinesHelperMDRImpl,1,3.6363637,40,145.45454,40,0,11,PureExtender,NoOvr,Large Class
org.argouml.model,AbstractCoreHelperDecorator,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Large Class
org.argouml.language.cpp.reveng,ModelerImpl,1,3.5454545,39,138.27272,39,0,11,PureExtender,NoOvr,Large Class
org.argouml.model,AbstractCommonBehaviorHelperDecorator,1,2.8181818,31,87.36363,31,0,11,PureExtender,NoOvr,Large Class
org.argouml.model.uml,CoreHelperImpl,1,12.727273,140,1781.8182,140,0,11,PureExtender,NoOvr,Large Class
org.argouml.uml.generator,GeneratorDisplay,2,1.8139535,39,70.74419,18,21,22,Overrider,Specializer,Large Class
org.argouml.uml.ui,UMLComboBoxModel2,2,3.3333333,30,100.0,27,3,15,Extender,PureSpecializer,Large Class
org.argouml.cognitive,ToDoItem,1,2.5454545,28,71.27273,25,3,8,Extender,PureReplacer,Large Class
org.argouml.uml.diagram.sequence.ui,FigClassifierRole,5,0.6944445,40,27.777779,18,22,266,Overrider,Replacer,Large Class
org.argouml.model.uml,NSUMLModelFacade,1,28.90909,318,9193.091,318,0,11,PureExtender,NoOvr,Large Class
org.argouml.uml.diagram.static_structure.ui,FigPackage,5,0.4340278,25,10.850695,4,21,267,Overrider,Replacer,Large Class
org.argouml.model.mdr,StateMachinesFactoryMDRImpl,2,8.5,51,433.5,51,0,12,PureExtender,NoOvr,Large Class
org.argouml.uml.reveng.idl,IDLParser,3,8.210526,156,1280.8422,156,0,57,PureExtender,NoOvr,Large Class
org.argouml.ui,ProjectBrowser,6,0.43438914,32,13.900453,28,4,438,Extender,Equals,Large Class
org.argouml.uml.reveng.idl,IDLLexer,2,1.5737705,48,75.540985,48,0,61,PureExtender,NoOvr,Large Class
org.argouml.language.cpp.generator,GeneratorCpp,2,2.0930233,45,94.18605,26,19,24,Extender,PureSpecializer,Large Class
org.argouml.uml.diagram.static_structure.ui,FigClass,6,0.6122449,30,18.367348,9,21,273,Overrider,Specializer,Large Class
