Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.bouncycastle.asn1,DERBitString,2,0.7692308,5,3.846154,2,3,10,Overrider,Replacer
com.aelitis.azureus.core.networkmanager.impl,TCPProtocolDecoderInitial,2,0.7692308,5,3.846154,3,2,11,Extender,PureSpecializer
org.bouncycastle.asn1.misc,VerisignCzagExtension,3,0.2,1,0.2,0,1,14,PureOverrider,PureReplacer
com.aelitis.azureus.core.proxy.socks,AESocksProxyFactory,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionSharing,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.messaging,MessageStreamDecoderAdapter,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytorrents,CompletionItem$Cell,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views,PeersView,3,0.4074074,11,4.4814816,6,5,76,Extender,Specializer
com.aelitis.azureus.core.util.bloom.impl,BloomFilterAddOnly,2,0.2857143,4,1.1428572,0,4,24,PureOverrider,PureSpecializer
org.gudy.azureus2.core3.util.protocol.magnet,Handler,2,0.08695652,1,0.08695652,0,1,22,PureOverrider,PureSpecializer
org.gudy.azureus2.core3.util,AEDiagnosticsLogger,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.configsections,ConfigSectionInterfaceColor,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,IncomingSocketChannelManager$SelectorListener,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.bouncycastle.asn1.x509,TBSCertList,1,0.8181818,9,7.3636365,9,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.network,OutgoingMessageQueueImpl,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.gudy.azureus2.pluginsimpl.local.disk,DiskManagerFileInfoImpl,1,1.1818181,13,15.363636,13,0,11,PureExtender,NoOvr
org.gudy.azureus2.core3.torrent,TOTorrentException,3,0.14285715,1,0.14285715,1,0,21,PureExtender,NoOvr
org.bouncycastle.asn1.x509,AttributeCertificateInfo,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.shells,InputShell,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.animations,Animator,3,0.071428575,1,0.071428575,0,1,41,PureOverrider,PureReplacer
org.gudy.azureus2.pluginsimpl.local.ddb,DDBaseImpl$listenerMapper,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.dht.impl,DHTImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytorrents,NetworksItem,3,0.05263158,1,0.05263158,1,0,57,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytorrents,TrackerStatusItem$Cell,2,0.33333334,3,1.0,0,3,15,PureOverrider,Specializer
com.aelitis.azureus.core.networkmanager.impl,TCPProtocolDecoderPHE,2,2.7692308,18,49.846153,16,2,11,Extender,PureSpecializer
org.gudy.azureus2.ui.swt,Tab,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager,PeerManager$LegacyRegistration,1,0.0,0,0.0,0,0,11,Other,NoOvr
com.aelitis.azureus.core.diskmanager.cache.impl,CacheFileWithCache,1,3.0,33,99.0,33,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.dht.router.impl,DHTRouterImpl,1,3.7272727,41,152.81818,41,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.peermanager.messaging.azureus,AZPeerExchange,1,1.0909091,12,13.09091,12,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,VirtualNonBlockingServerChannelSelector,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.gudy.azureus2.ui.swt.views.tableitems.mytorrents,PiecesItem$Cell,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
com.aelitis.azureus.core.networkmanager.impl,ConnectDisconnectManager$ConnectionRequest,1,0.0,0,0.0,0,0,11,Other,NoOvr
com.aelitis.azureus.core.dht.transport.udp.impl,DHTUDPPacketData,4,1.1428572,10,11.428572,8,2,33,Extender,PureSpecializer
org.gudy.azureus2.core3.config,COConfigurationManager,1,0.0,0,0.0,0,0,11,Other,NoOvr
