Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
com.aelitis.azureus.core.dht.impl,DHTImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.networkmanager.impl,TCPProtocolDecoderPHE,2,2.7692308,18,49.846153,16,2,11,Extender,PureSpecializer,Large Class
com.aelitis.azureus.core.diskmanager.cache.impl,CacheFileWithCache,1,3.0,33,99.0,33,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.dht.router.impl,DHTRouterImpl,1,3.7272727,41,152.81818,41,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.download.impl,DownloadManagerStateImpl$nullState,1,3.8181818,42,160.36363,42,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.ui.swt.mainwindow,MainWindow,2,10.0,65,650.0,64,1,12,Extender,PureSpecializer,Large Class
org.gudy.azureus2.pluginsimpl.local,PluginInterfaceImpl,1,5.5454545,61,338.27274,61,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.utils.resourcedownloader,ResourceDownloaderBaseImpl,1,2.6363637,29,76.45455,29,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.peermanager.piecepicker.impl,PiecePickerImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.peer.impl,PEPeerStatsImpl,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.remote.tracker,RPTracker,2,1.5833334,19,30.083334,16,3,21,Extender,PureReplacer,Large Class
org.gudy.azureus2.pluginsimpl.remote.ipfilter,RPIPFilter,2,1.8333334,22,40.333336,19,3,21,Extender,PureReplacer,Large Class
org.gudy.azureus2.pluginsimpl.local.peers,PeerImpl,2,6.375,51,325.125,47,4,12,Extender,PureReplacer,Large Class
org.gudy.azureus2.pluginsimpl.local.ui.model,BasicPluginConfigModelImpl,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.core3.logging.impl,LoggerImpl,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Large Class
com.aelitis.azureus.core.dht.nat.impl,DHTNATPuncherImpl,1,2.3636363,26,61.454544,26,0,11,PureExtender,NoOvr,Large Class
org.gudy.azureus2.pluginsimpl.local.tracker,TrackerTorrentImpl,1,3.3636363,37,124.454544,35,2,9,Extender,PureReplacer,Large Class
