Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.jboss.mx.server,ObjectInputStreamWithClassLoader,3,0.125,2,0.25,0,2,46,PureOverrider,PureReplacer
org.apache.commons.logging.impl,WeakHashtable$Referenced,1,0.18181819,2,0.36363637,0,2,9,PureOverrider,PureReplacer
org.jboss.dom4j.dom,DOMNodeHelper,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.xb.binding.metadata,PropertyMetaData,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
javax.management.openmbean,CompositeType,2,1.0,8,8.0,4,4,12,Overrider,PureSpecializer
org.jboss.util.coerce,FileHandler,3,0.69230765,3,2.076923,1,2,11,Overrider,PureSpecializer
org.jboss.dom4j.tree,NamespaceStack,1,2.090909,23,48.090908,22,1,10,Extender,PureSpecializer
org.jboss.xb.binding.parser.sax,SaxJBossXBParser,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
javax.management.openmbean,InvalidKeyException,5,0.0,0,0.0,0,0,21,Other,NoOvr
org.jboss.mx.notification,AsynchNotificationBroadcasterSupport$AsynchNotifier,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.config,PropertySetterException,3,0.14285715,1,0.14285715,0,1,20,PureOverrider,PureSpecializer
EDU.oswego.cs.dl.util.concurrent.misc,ReentrantRWlockRNG,4,0.17391305,1,0.17391305,0,1,22,PureOverrider,PureReplacer
org.apache.log4j.spi,RootCategory,3,0.15254238,3,0.45762715,2,1,58,Extender,PureReplacer
org.jboss.xb.binding.sunday.unmarshalling,XsdBinder$SharedElements,1,0.36363637,4,1.4545455,4,0,11,PureExtender,NoOvr
org.jboss.xb.binding.metadata,SchemaMetaData,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr
org.apache.log4j,RollingCalendar,3,0.1451613,3,0.4354839,3,0,62,PureExtender,NoOvr
org.apache.commons.httpclient.util,LangUtils,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.jboss.util.coerce,CharacterHandler,3,0.69230765,3,2.076923,1,2,11,Overrider,PureSpecializer
org.jboss.xb.binding.metadata,MapEntryMetaData,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr
org.jboss.dom4j.tree,ConcurrentReaderHashMap$KeySet,3,0.625,5,3.125,0,5,19,PureOverrider,Replacer
org.jboss.dom4j.dom,DOMDocumentFactory,2,0.8095238,17,13.761905,6,11,31,Overrider,PureReplacer
javax.management,AttributeChangeNotificationFilter,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
EDU.oswego.cs.dl.util.concurrent,ConcurrentReaderHashMap,2,2.173913,25,54.347824,12,13,10,Overrider,Replacer
EDU.oswego.cs.dl.util.concurrent,FJTaskRunnerGroup$InvokableFJTask,2,0.33333334,3,1.0,3,0,18,PureExtender,NoOvr
org.jboss.xb.binding,DelegatingObjectModelProvider,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr
