Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
EDU.oswego.cs.dl.util.concurrent,ConcurrentReaderHashMap,2,2.173913,25,54.347824,12,13,10,Overrider,Replacer,Blooming Class
org.jboss.dom4j.io,SAXWriter,1,4.0,44,176.0,44,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.dom,DOMDocumentType,4,2.1052632,30,63.157898,30,0,57,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.util,ProxyDocumentFactory,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.system,ServiceController,2,2.6666667,24,64.0,24,0,18,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.dom,DOMDocument,5,1.981132,42,83.20754,41,1,105,Extender,PureSpecializer,Blooming Class
javax.management.timer,Timer,2,4.2352943,36,152.4706,35,1,16,Extender,PureReplacer,Blooming Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedShort,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Blooming Class
javax.management.monitor,Monitor,2,4.470588,38,169.88235,38,0,17,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,HttpConnection,1,5.5454545,61,338.27274,61,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.dom,DOMComment,6,4.125,33,136.125,33,0,48,PureExtender,NoOvr,Blooming Class
org.jboss.system.server,ServerConfigImpl,1,2.4545455,27,66.27273,27,0,11,PureExtender,NoOvr,Blooming Class
org.apache.xerces.impl.xs,XMLSchemaValidator,1,4.909091,54,265.0909,54,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.system,ServiceMBeanSupport,2,3.0,27,81.0,27,0,18,PureExtender,NoOvr,Blooming Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedByte,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Blooming Class
org.jboss.mx.server,MBeanServerImpl,1,4.0,44,176.0,43,1,10,Extender,PureSpecializer,Blooming Class
org.jboss.dom4j.io,STAXEventWriter,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.io,XMLWriter,2,3.9545455,87,344.04547,72,15,29,Extender,PureSpecializer,Blooming Class
org.jboss.dom4j.tree,AbstractBranch,2,1.8604652,40,74.41861,37,3,40,Extender,PureReplacer,Blooming Class
org.jboss.dom4j.io,OutputFormat,1,2.6363637,29,76.45455,29,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.xb.binding.sunday.unmarshalling,SchemaBinding,1,3.4545455,38,131.27274,38,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.util.property,PropertyMap,4,2.7692308,27,74.76923,23,4,35,Extender,Specializer,Blooming Class
org.jboss.dom4j.tree,AbstractNode,1,3.0,33,99.0,32,1,10,Extender,PureSpecializer,Blooming Class
org.jboss.deployment.scanner,URLDeploymentScanner,4,2.074074,28,58.074074,25,3,51,Extender,PureSpecializer,Blooming Class
org.jboss.mx.timer,JBossTimer,2,3.1764705,27,85.7647,27,0,17,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,HttpMethodBase,1,8.090909,89,720.0909,89,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.system.server,ServerImpl,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,HostConfiguration,1,2.5454545,28,71.27273,24,4,7,Extender,PureReplacer,Blooming Class
org.jboss.dom4j.dom,DOMEntityReference,5,2.6595745,25,66.489365,25,0,47,PureExtender,NoOvr,Blooming Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedLong,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Blooming Class
org.apache.log4j,Category,1,4.090909,45,184.09091,45,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.dom,DOMElement,5,1.278409,45,57.528404,43,2,174,Extender,PureReplacer,Blooming Class
EDU.oswego.cs.dl.util.concurrent,CopyOnWriteArrayList,1,3.1818182,35,111.36364,31,4,7,Extender,Replacer,Blooming Class
javax.management.relation,RelationService,2,4.9411764,42,207.5294,41,1,16,Extender,PureReplacer,Blooming Class
org.jboss.mx.loading,UnifiedLoaderRepository3,2,2.1935484,34,74.58065,20,14,17,Extender,Specializer,Blooming Class
org.jboss.dom4j,DocumentFactory,1,2.8181818,31,87.36363,31,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.util,JBossStringBuilder,1,4.181818,46,192.36363,45,1,10,Extender,PureReplacer,Blooming Class
org.jboss.xb.binding.sunday.unmarshalling,TypeBinding,1,5.818182,64,372.36365,63,1,10,Extender,PureSpecializer,Blooming Class
org.jboss.dom4j.dom,DOMAttribute,5,2.368421,27,63.94737,26,1,56,Extender,PureReplacer,Blooming Class
org.jboss.system.server.jmx,LazyMBeanServer,1,3.2727273,36,117.818184,36,0,11,PureExtender,NoOvr,Blooming Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedInt,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Blooming Class
org.jboss.util.threadpool,BasicThreadPool,1,3.090909,34,105.090904,33,1,10,Extender,PureReplacer,Blooming Class
org.jboss.mx.loading,RepositoryClassLoader,4,3.7333333,42,156.8,31,11,34,Extender,Specializer,Blooming Class
org.jboss.system,ORBSingleton,3,1.8,42,75.6,0,42,28,PureOverrider,Specializer,Blooming Class
org.jboss.mx.server,AbstractMBeanInvoker,1,3.909091,43,168.09091,43,0,11,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,URI,1,8.090909,89,720.0909,85,4,7,Extender,PureReplacer,Blooming Class
org.jboss.mx.server,InvocationContext,1,2.7272727,30,81.818184,29,1,10,Extender,PureReplacer,Blooming Class
org.jboss.dom4j.tree,AbstractElement,3,4.35,116,504.59998,90,26,54,Extender,Replacer,Blooming Class
org.jboss.dom4j.dom,DOMProcessingInstruction,5,2.4107144,27,65.08929,27,0,56,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,Cookie,2,3.2,24,76.8,21,3,12,Extender,PureReplacer,Blooming Class
org.jboss.dom4j.dom,DOMCDATA,6,4.375,35,153.125,35,0,48,PureExtender,NoOvr,Blooming Class
org.jboss.xb.binding.sunday.unmarshalling,TermBinding,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.dom,DOMText,6,4.375,35,153.125,35,0,48,PureExtender,NoOvr,Blooming Class
org.jboss.deployment,MainDeployer,3,2.5333333,38,96.26666,36,2,43,Extender,PureReplacer,Blooming Class
org.jboss.dom4j.io,SAXContentHandler,2,3.5714285,50,178.57143,36,14,14,Extender,PureReplacer,Blooming Class
javax.management.modelmbean,RequiredModelMBean,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Blooming Class
org.jboss.dom4j.tree,ConcurrentReaderHashMap,2,2.173913,25,54.347824,12,13,10,Overrider,Replacer,Blooming Class
org.jboss.dom4j.io,SAXReader,1,4.3636365,48,209.45456,48,0,11,PureExtender,NoOvr,Blooming Class
EDU.oswego.cs.dl.util.concurrent,PooledExecutor,2,4.3076925,28,120.61539,28,0,13,PureExtender,NoOvr,Blooming Class
org.apache.commons.httpclient,MultiThreadedHttpConnectionManager$HttpConnectionAdapter,2,1.5555556,56,87.111115,2,54,18,Overrider,PureReplacer,Blooming Class
