Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.jboss.dom4j.tree,NamespaceStack,1,2.090909,23,48.090908,22,1,10,Extender,PureSpecializer,Budding Class
EDU.oswego.cs.dl.util.concurrent,ConcurrentReaderHashMap,2,2.173913,25,54.347824,12,13,10,Overrider,Replacer,Budding Class
org.jboss.dom4j.io,SAXWriter,1,4.0,44,176.0,44,0,11,PureExtender,NoOvr,Budding Class
javax.management,StandardMBean,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Budding Class
org.jboss.util.threadpool,BasicTaskWrapper,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.logging.impl,NoOpLog,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.dom,DOMDocumentType,4,2.1052632,30,63.157898,30,0,57,PureExtender,NoOvr,Budding Class
javax.management.openmbean,OpenMBeanParameterInfoSupport,3,2.7857144,13,36.214287,10,3,11,Extender,PureReplacer,Budding Class
javax.management,Notification,2,1.6666666,10,16.666666,9,1,11,Extender,PureSpecializer,Budding Class
org.jboss.dom4j.util,ProxyDocumentFactory,1,2.2727273,25,56.81818,25,0,11,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,WaitableInt,3,1.7419355,18,31.35484,6,12,19,Overrider,Specializer,Budding Class
org.jboss.system,ServiceController,2,2.6666667,24,64.0,24,0,18,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.dom,DOMDocument,5,1.981132,42,83.20754,41,1,105,Extender,PureSpecializer,Budding Class
org.apache.commons.httpclient.methods.multipart,Part,1,1.6363636,18,29.454546,17,1,10,Extender,PureReplacer,Budding Class
org.jboss.logging,Logger,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Budding Class
org.jboss.xb.binding.metadata,XsdAppInfo,2,2.2,22,48.4,22,0,20,PureExtender,NoOvr,Budding Class
javax.management.timer,Timer,2,4.2352943,36,152.4706,35,1,16,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedShort,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Budding Class
org.jboss.xb.binding,AbstractMarshaller,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Budding Class
javax.management.monitor,Monitor,2,4.470588,38,169.88235,38,0,17,PureExtender,NoOvr,Budding Class
org.apache.log4j,Hierarchy,1,2.0,22,44.0,22,0,11,PureExtender,NoOvr,Budding Class
org.jboss.system,BarrierController,4,1.9230769,25,48.076923,22,3,49,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent.misc,Fraction,1,1.8181819,20,36.363636,16,4,7,Extender,PureReplacer,Budding Class
org.jboss.logging,NullLoggerPlugin,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.logging.impl,Jdk13LumberjackLogger,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.httpclient,HttpConnection,1,5.5454545,61,338.27274,61,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.logging.impl,SimpleLog,1,2.090909,23,48.090908,23,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.dom,DOMComment,6,4.125,33,136.125,33,0,48,PureExtender,NoOvr,Budding Class
org.jboss.xb.binding.group,ValueList,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedDouble,2,2.1538463,14,30.153847,11,3,10,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,WaitableDouble,3,1.5,12,18.0,6,6,18,Overrider,PureSpecializer,Budding Class
org.apache.commons.httpclient.util,HttpURLConnection,3,1.5967742,33,52.69355,0,33,29,PureOverrider,Replacer,Budding Class
javax.management.loading,MLet,4,1.6,18,28.800001,14,4,41,Extender,Equals,Budding Class
org.jboss.system.server,ServerConfigImpl,1,2.4545455,27,66.27273,27,0,11,PureExtender,NoOvr,Budding Class
org.apache.xerces.impl.xs,XMLSchemaValidator,1,4.909091,54,265.0909,54,0,11,PureExtender,NoOvr,Budding Class
org.jboss.mx.server.registry,BasicMBeanRegistry,1,2.090909,23,48.090908,23,0,11,PureExtender,NoOvr,Budding Class
org.jboss.system,ServiceMBeanSupport,2,3.0,27,81.0,27,0,18,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedFloat,2,2.1538463,14,30.153847,11,3,10,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent.misc,SynchronizationTimer,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.httpclient,MultiThreadedHttpConnectionManager,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.deployment,SubDeployerSupport,3,1.4666667,22,32.266666,18,4,41,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedByte,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,WaitableByte,3,1.7419355,18,31.35484,6,12,19,Overrider,Specializer,Budding Class
org.jboss.mx.server,MBeanServerImpl,1,4.0,44,176.0,43,1,10,Extender,PureSpecializer,Budding Class
org.jboss.dom4j.io,STAXEventWriter,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.io,XMLWriter,2,3.9545455,87,344.04547,72,15,29,Extender,PureSpecializer,Budding Class
org.apache.commons.logging.impl,LogFactoryImpl,2,1.5555556,14,21.777779,7,7,11,Overrider,PureSpecializer,Budding Class
org.jboss.dom4j.rule,Stylesheet,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.tree,AbstractBranch,2,1.8604652,40,74.41861,37,3,40,Extender,PureReplacer,Budding Class
org.jboss.mx.persistence,MbeanInfoDbPm,2,2.7142856,19,51.571426,19,0,14,PureExtender,NoOvr,Budding Class
org.jboss.mx.util,JBossNotCompliantMBeanException,6,1.7142857,6,10.285714,1,5,16,Overrider,Specializer,Budding Class
org.jboss.deployment.scanner,DeploymentFilter,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.io,OutputFormat,1,2.6363637,29,76.45455,29,0,11,PureExtender,NoOvr,Budding Class
org.jboss.xb.binding.sunday.unmarshalling,SchemaBinding,1,3.4545455,38,131.27274,38,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.logging.impl,WeakHashtable,3,1.5555556,14,21.777779,0,14,13,PureOverrider,Specializer,Budding Class
org.apache.commons.logging.impl,Jdk14Logger,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.util.property,PropertyMap,4,2.7692308,27,74.76923,23,4,35,Extender,Specializer,Budding Class
org.jboss.dom4j.tree,AbstractNode,1,3.0,33,99.0,32,1,10,Extender,PureSpecializer,Budding Class
org.jboss.deployment.scanner,URLDeploymentScanner,4,2.074074,28,58.074074,25,3,51,Extender,PureSpecializer,Budding Class
EDU.oswego.cs.dl.util.concurrent,WaitableFloat,3,1.5,12,18.0,6,6,18,Overrider,PureSpecializer,Budding Class
org.jboss.xb.binding.sunday.unmarshalling,LSInputAdaptor,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.io,DOMWriter,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.mx.timer,JBossTimer,2,3.1764705,27,85.7647,27,0,17,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent.misc,SwingWorker,2,1.5384616,10,15.384616,10,0,13,PureExtender,NoOvr,Budding Class
org.jboss.system.server,ServerInfo,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,SyncCollection,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.io,SAXModifier,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.httpclient,HttpMethodBase,1,8.090909,89,720.0909,89,0,11,PureExtender,NoOvr,Budding Class
org.jboss.util.collection,WeakIdentityHashMap,1,1.4545455,16,23.272728,16,0,11,PureExtender,NoOvr,Budding Class
org.jboss.system.server,ServerImpl,1,2.5454545,28,71.27273,28,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.rule,Rule,1,1.9090909,21,40.090908,18,3,8,Extender,Replacer,Budding Class
org.jboss.dom4j.io,SAXEventRecorder,2,1.5714285,22,34.571426,14,8,20,Extender,PureReplacer,Budding Class
org.apache.commons.httpclient.params,DefaultHttpParams,1,1.7272727,19,32.818184,18,1,10,Extender,PureSpecializer,Budding Class
org.jboss.util,TimedCachePolicy,2,2.5714285,18,46.285713,17,1,13,Extender,PureSpecializer,Budding Class
org.apache.commons.httpclient,HttpException,4,1.5238096,8,12.190476,4,4,17,Overrider,Equals,Budding Class
org.apache.commons.httpclient,HostConfiguration,1,2.5454545,28,71.27273,24,4,7,Extender,PureReplacer,Budding Class
org.apache.commons.logging.impl,Log4JLogger,1,1.7272727,19,32.818184,19,0,11,PureExtender,NoOvr,Budding Class
org.jboss.mx.loading,MBeanElement,1,1.5454545,17,26.272726,17,0,11,PureExtender,NoOvr,Budding Class
org.jboss.xb.binding,ObjectModelBuilder,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Budding Class
org.jboss.dom4j.dom,DOMEntityReference,5,2.6595745,25,66.489365,25,0,47,PureExtender,NoOvr,Budding Class
javax.management.relation,RelationSupport,1,2.1818182,24,52.36364,24,0,11,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedChar,2,2.1538463,14,30.153847,11,3,10,Extender,PureReplacer,Budding Class
javax.management.modelmbean,ModelMBeanInfoSupport,2,1.4117647,12,16.941177,11,1,16,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,WaitableShort,3,1.7419355,18,31.35484,6,12,19,Overrider,Specializer,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedBoolean,2,2.1538463,14,30.153847,11,3,10,Extender,PureReplacer,Budding Class
EDU.oswego.cs.dl.util.concurrent,SynchronizedLong,2,3.2307692,21,67.84615,18,3,10,Extender,PureReplacer,Budding Class
org.jboss.dom4j.io,STAXEventReader,1,2.0,22,44.0,22,0,11,PureExtender,NoOvr,Budding Class
org.apache.log4j,Category,1,4.090909,45,184.09091,45,0,11,PureExtender,NoOvr,Budding Class
org.apache.commons.httpclient,HttpState,1,2.090909,23,48.090908,22,1,10,Extender,PureReplacer,Budding Class
org.jboss.util,StackTrace$Entry,1,1.6363636,18,29.454546,14,4,7,Extender,Replacer,Budding Class
org.jboss.util.stream,ObjectOutputStreamAdapter,3,1.5,22,33.0,0,22,22,PureOverrider,PureReplacer,Budding Class
org.jboss.dom4j.io,XPP3Reader,1,1.8181819,20,36.363636,20,0,11,PureExtender,NoOvr,Budding Class
EDU.oswego.cs.dl.util.concurrent,CopyOnWriteArrayList,1,3.1818182,35,111.36364,31,4,7,Extender,Replacer,Budding Class
org.jboss.dom4j.dom,DOMNamespace,4,1.882353,24,45.17647,24,0,51,PureExtender,NoOvr,Budding Class
javax.management.relation,RelationService,2,4.9411764,42,207.5294,41,1,16,Extender,PureReplacer,Budding Class
org.apache.commons.logging.impl,Log4jProxy,1,1.6363636,18,29.454546,18,0,11,PureExtender,NoOvr,Budding Class
org.jboss.logging,Log4jLoggerPlugin,1,2.0,22,44.0,22,0,11,PureExtender,NoOvr,Budding Class
org.jboss.mx.loading,UnifiedLoaderRepository3,2,2.1935484,34,74.58065,20,14,17,Extender,Specializer,Budding Class
org.jboss.dom4j,DocumentFactory,1,2.8181818,31,87.36363,31,0,11,PureExtender,NoOvr,Budding Class
org.jboss.util,JBossStringBuilder,1,4.181818,46,192.36363,45,1,10,Extender,PureReplacer,Budding Class
javax.management.openmbean,TabularDataSupport,1,2.1818182,24,52.36364,20,4,7,Extender,Replacer,Budding Class
