Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
CH.ifa.draw.standard,CompositeFigure,2,1.4090909,31,43.681816,24,7,37,Extender,Specializer,Budding Class
CH.ifa.draw.contrib,PolygonFigure,3,1.5918367,26,41.387753,14,12,37,Extender,Equals,Budding Class
CH.ifa.draw.standard,ConnectionHandle,3,0.95454544,7,6.681818,3,4,18,Overrider,PureReplacer,Budding Class
CH.ifa.draw.standard,AbstractTool,1,0.90909094,10,9.090909,10,0,11,PureExtender,NoOvr,Budding Class
CH.ifa.draw.standard,DecoratorFigure,2,1.3181819,29,38.227276,9,20,24,Overrider,Replacer,Budding Class
CH.ifa.draw.figures,PolyLineFigure,2,1.3181819,29,38.227276,18,11,33,Extender,Specializer,Budding Class
CH.ifa.draw.figures,TextTool,3,1.3043479,10,13.043479,5,5,18,Overrider,Specializer,Budding Class
CH.ifa.draw.standard,AbstractHandle,1,1.0,11,11.0,11,0,11,PureExtender,NoOvr,Budding Class
CH.ifa.draw.standard,ConnectionTool,2,1.4285715,15,21.428572,10,5,16,Extender,Replacer,Budding Class
CH.ifa.draw.util,StandardStorageFormat,1,1.2727273,14,17.818182,13,1,10,Extender,PureReplacer,Budding Class
CH.ifa.draw.standard,AbstractFigure,1,3.090909,34,105.090904,33,1,10,Extender,PureReplacer,Budding Class
CH.ifa.draw.contrib,CustomSelectionTool,3,1.125,9,10.125,6,3,21,Extender,PureSpecializer,Budding Class
CH.ifa.draw.figures,TextFigure,3,1.8367347,30,55.10204,17,13,36,Extender,Specializer,Budding Class
CH.ifa.draw.figures,ArrowTip,2,0.94736844,9,8.526316,6,3,16,Extender,PureSpecializer,Budding Class
CH.ifa.draw.contrib,TriangleFigure,4,0.8979592,11,9.877551,3,8,41,Overrider,Equals,Budding Class
CH.ifa.draw.figures,LineConnection,3,1.5483872,32,49.54839,23,9,53,Extender,Specializer,Budding Class
CH.ifa.draw.samples.pert,PertFigure,3,1.0588236,24,25.411766,14,10,58,Extender,Specializer,Budding Class
CH.ifa.draw.standard,ChangeConnectionHandle,2,0.90909094,10,9.090909,6,4,18,Extender,PureReplacer,Budding Class
