Package,Base name,DIT,Local G Count,Tag,Hamming,Hamming Index,Jaccard,Jaccard Index
CH.ifa.draw.framework,DrawingChangeEvent,2,2,PureExtender,1,0.5,0.5,0.5
CH.ifa.draw.standard,WestHandle,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.samples.javadraw,JavaDrawApp,8,12,Overrider,0,1.0,0.0,1.0
CH.ifa.draw.standard,ChopBoxConnector,2,3,Overrider,1,0.6666667,0.3333333,0.6666667
CH.ifa.draw.figures,ArrowTip,2,9,Extender,0,1.0,0.0,1.0
CH.ifa.draw.figures,ShortestDistanceConnector,2,3,Overrider,1,0.6666667,0.3333333,0.6666667
CH.ifa.draw.standard,AlignCommand,2,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.util,StorageFormatManager,1,7,PureExtender,7,0.0,1.0,0.0
CH.ifa.draw.standard,BoxHandleKit,1,0,Other,0,0.0,0.0,1.0
CH.ifa.draw.standard,NullHandle,3,1,PureOverrider,2,-1.0,1.0,0.0
CH.ifa.draw.figures,ChopEllipseConnector,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,GroupCommand,2,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,GroupHandle,4,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,LineConnection,3,32,Extender,28,0.125,0.875,0.125
CH.ifa.draw.figures,ElbowConnection,4,5,Overrider,4,0.2,0.8,0.2
CH.ifa.draw.standard,RelativeLocator,2,3,Overrider,2,0.33333334,0.6666666,0.33333334
CH.ifa.draw.standard,ChangeConnectionHandle,2,10,Extender,9,0.1,0.8181818,0.18181819
CH.ifa.draw.util,Filler,5,3,PureOverrider,1,0.6666667,0.3333333,0.6666667
CH.ifa.draw.util,Command,1,3,PureExtender,3,0.0,1.0,0.0
CH.ifa.draw.figures,LineFigure,3,6,Extender,2,0.6666667,0.3333333,0.6666667
CH.ifa.draw.standard,FigureChangeEventMulticaster,2,6,Extender,0,1.0,0.0,1.0
CH.ifa.draw.contrib,CustomToolBar,5,5,Extender,0,1.0,0.0,1.0
CH.ifa.draw.samples.javadraw,AnimationDecorator,3,8,Overrider,7,0.125,0.875,0.125
CH.ifa.draw.contrib,CustomSelectionTool,3,9,Extender,8,0.11111111,0.8888889,0.11111111
CH.ifa.draw.samples.pert,PertDependency,4,4,PureOverrider,3,0.25,0.75,0.25
CH.ifa.draw.samples.javadraw,JavaDrawViewer,6,6,Extender,0,1.0,0.0,1.0
CH.ifa.draw.samples.javadraw,PatternPainter,1,1,PureExtender,1,0.0,1.0,0.0
CH.ifa.draw.standard,DragTracker,2,2,PureOverrider,1,0.5,0.3333333,0.6666667
CH.ifa.draw.figures,PolyLineLocator,2,1,PureExtender,0,1.0,0.0,1.0
CH.ifa.draw.applet,DrawApplet,6,24,Extender,18,0.25,0.75,0.25
CH.ifa.draw.framework,FigureChangeEvent,2,2,PureExtender,1,0.5,0.5,0.5
CH.ifa.draw.figures,BorderDecorator,3,7,Overrider,6,0.14285715,0.85714287,0.14285715
CH.ifa.draw.util,FloatingTextField,1,8,PureExtender,8,0.0,1.0,0.0
CH.ifa.draw.samples.nothing,NothingApp,7,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,PolyLineConnector,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.samples.javadraw,JavaDrawApplet,7,7,Overrider,6,0.14285715,0.85714287,0.14285715
CH.ifa.draw.standard,ChangeAttributeCommand,2,2,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.standard,SouthHandle,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,RectangleFigure,3,8,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,ElbowTextLocator,2,1,PureExtender,0,1.0,0.0,1.0
CH.ifa.draw.contrib,GraphicalCompositeFigure,3,19,Overrider,16,0.15789473,0.84210527,0.15789473
CH.ifa.draw.contrib,MDI_InternalFrame,5,6,PureExtender,0,1.0,0.0,1.0
CH.ifa.draw.standard,HandleTracker,2,3,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.samples.javadraw,Animator,2,3,Overrider,2,0.33333334,0.6666666,0.33333334
CH.ifa.draw.samples.pert,PertFigureCreationTool,3,1,PureOverrider,1,0.0,1.0,0.0
CH.ifa.draw.util,PaletteLayout,1,5,PureExtender,5,0.0,1.0,0.0
CH.ifa.draw.figures,InsertImageCommand,2,1,PureOverrider,1,0.0,0.5,0.5
CH.ifa.draw.standard,AbstractFigure,1,34,Extender,34,0.0,1.0,0.0
CH.ifa.draw.contrib,TriangleFigure,4,11,Overrider,7,0.36363637,0.6363636,0.36363637
CH.ifa.draw.samples.net,NetApp,7,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.standard,SouthEastHandle,3,1,PureOverrider,0,1.0,0.0,1.0
CH.ifa.draw.figures,ScribbleTool,2,4,PureOverrider,3,0.25,0.6,0.4
