Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Large Class,Budding Class,Blooming Class
CH.ifa.draw.framework,DrawingChangeEvent,2,0.33333334,2,0.6666667,2,0,12,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,WestHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.samples.javadraw,JavaDrawApp,8,0.19793814,12,2.3752577,5,7,478,Overrider,Specializer,N,N,N
CH.ifa.draw.standard,ChopBoxConnector,2,0.3,3,0.90000004,1,2,18,Overrider,PureReplacer,N,N,N
CH.ifa.draw.figures,ArrowTip,2,0.94736844,9,8.526316,6,3,16,Extender,PureSpecializer,N,Y,N
CH.ifa.draw.figures,ShortestDistanceConnector,2,0.3,3,0.90000004,1,2,18,Overrider,PureReplacer,N,N,N
CH.ifa.draw.standard,AlignCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
CH.ifa.draw.util,StorageFormatManager,1,0.6363636,7,4.4545455,7,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,BoxHandleKit,1,0.0,0,0.0,0,0,11,Other,NoOvr,N,N,N
CH.ifa.draw.standard,NullHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,ChopEllipseConnector,3,0.14285715,1,0.14285715,0,1,20,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,GroupCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
CH.ifa.draw.figures,GroupHandle,4,0.18181819,1,0.18181819,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,LineConnection,3,1.5483872,32,49.54839,23,9,53,Extender,Specializer,Y,Y,Y
CH.ifa.draw.figures,ElbowConnection,4,0.23529412,5,1.1764706,1,4,81,Overrider,Replacer,N,N,N
CH.ifa.draw.standard,RelativeLocator,2,0.46153846,3,1.3846154,1,2,11,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,ChangeConnectionHandle,2,0.90909094,10,9.090909,6,4,18,Extender,PureReplacer,N,Y,N
CH.ifa.draw.util,Filler,5,0.034324944,3,0.10297483,0,3,434,PureOverrider,Replacer,N,N,N
CH.ifa.draw.util,Command,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,LineFigure,3,0.2903226,6,1.7419356,5,1,61,Extender,PureReplacer,N,N,N
CH.ifa.draw.standard,FigureChangeEventMulticaster,2,0.23529412,6,1.4117647,5,1,50,Extender,PureReplacer,N,N,N
CH.ifa.draw.contrib,CustomToolBar,5,0.05506608,5,0.2753304,4,1,453,Extender,PureSpecializer,N,N,N
CH.ifa.draw.samples.javadraw,AnimationDecorator,3,0.4528302,8,3.6226416,3,5,48,Overrider,PureSpecializer,N,N,N
CH.ifa.draw.contrib,CustomSelectionTool,3,1.125,9,10.125,6,3,21,Extender,PureSpecializer,N,Y,N
CH.ifa.draw.samples.pert,PertDependency,4,0.1882353,4,0.7529412,0,4,81,PureOverrider,Replacer,N,N,N
CH.ifa.draw.samples.javadraw,JavaDrawViewer,6,0.09703504,6,0.58221024,5,1,370,Extender,PureReplacer,N,N,N
CH.ifa.draw.samples.javadraw,PatternPainter,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,DragTracker,2,0.1904762,2,0.3809524,0,2,19,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.figures,PolyLineLocator,2,0.15384616,1,0.15384616,1,0,13,PureExtender,NoOvr,N,N,N
CH.ifa.draw.applet,DrawApplet,6,0.38814017,24,9.315364,23,1,370,Extender,PureReplacer,Y,N,N
CH.ifa.draw.framework,FigureChangeEvent,2,0.33333334,2,0.6666667,2,0,12,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,BorderDecorator,3,0.39622644,7,2.773585,2,5,48,Overrider,Specializer,N,N,N
CH.ifa.draw.util,FloatingTextField,1,0.72727275,8,5.818182,8,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.samples.nothing,NothingApp,7,0.014861996,1,0.014861996,0,1,470,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.figures,PolyLineConnector,3,0.14285715,1,0.14285715,0,1,20,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.samples.javadraw,JavaDrawApplet,7,0.124365486,7,0.8705584,3,4,390,Overrider,Specializer,N,N,N
CH.ifa.draw.standard,ChangeAttributeCommand,2,0.2857143,2,0.5714286,0,2,12,PureOverrider,Equals,N,N,N
CH.ifa.draw.standard,SouthHandle,3,0.13636364,1,0.13636364,0,1,21,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.figures,RectangleFigure,3,0.4897959,8,3.9183671,0,8,41,PureOverrider,Specializer,N,N,N
CH.ifa.draw.figures,ElbowTextLocator,2,0.15384616,1,0.15384616,1,0,13,PureExtender,NoOvr,N,N,N
CH.ifa.draw.contrib,GraphicalCompositeFigure,3,0.8382353,19,15.926471,8,11,57,Overrider,PureSpecializer,Y,N,N
CH.ifa.draw.contrib,MDI_InternalFrame,5,0.06036217,6,0.36217302,6,0,497,PureExtender,NoOvr,N,N,N
CH.ifa.draw.standard,HandleTracker,2,0.2857143,3,0.8571429,0,3,18,PureOverrider,Specializer,N,N,N
CH.ifa.draw.samples.javadraw,Animator,2,0.14634146,3,0.4390244,1,2,39,Overrider,Equals,N,N,N
CH.ifa.draw.samples.pert,PertFigureCreationTool,3,0.13043478,1,0.13043478,0,1,22,PureOverrider,PureReplacer,N,N,N
CH.ifa.draw.util,PaletteLayout,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr,N,N,N
CH.ifa.draw.figures,InsertImageCommand,2,0.14285715,1,0.14285715,0,1,13,PureOverrider,PureSpecializer,N,N,N
CH.ifa.draw.standard,AbstractFigure,1,3.090909,34,105.090904,33,1,10,Extender,PureReplacer,Y,Y,Y
CH.ifa.draw.contrib,TriangleFigure,4,0.8979592,11,9.877551,3,8,41,Overrider,Equals,N,Y,N
CH.ifa.draw.samples.net,NetApp,7,0.014861996,1,0.014861996,0,1,470,PureOverrider,PureSpecializer,N,N,N
