Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag
org.apache.log4j.xml.test,DOMTest,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.helpers,DateLayout,2,1.1764706,10,11.764707,9,1,16,Extender,PureSpecializer
org.apache.log4j.lf5,Log4JLogRecord,2,0.11764706,2,0.23529412,1,1,33,Overrider,PureSpecializer
org.apache.log4j.net.test,SocketMin,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j,Layout,1,0.54545456,6,3.2727275,6,0,11,PureExtender,NoOvr
org.apache.log4j.test,X1Logger,3,0.1607143,3,0.4821429,3,0,56,PureExtender,NoOvr
org.apache.log4j.net,DefaultEvaluator,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.xml,SAXErrorHandler,1,0.27272728,3,0.8181819,3,0,11,PureExtender,NoOvr
org.apache.log4j.xml,DOMConfigurator,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.util,Resource,1,0.45454547,5,2.2727273,5,0,11,PureExtender,NoOvr
org.apache.log4j.test,DefaultInit,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j,RollingCalendar,3,0.13846155,3,0.41538465,3,0,65,PureExtender,NoOvr
org.apache.log4j.lf5.viewer,LogTableColumnFormatException,3,0.0,0,0.0,0,0,21,Other,NoOvr
org.apache.log4j.lf5,LogRecord,1,2.1818182,24,52.36364,23,1,10,Extender,PureReplacer
org.apache.log4j.varia,LevelMatchFilter,2,0.7692308,5,3.846154,4,1,12,Extender,PureSpecializer
org.apache.log4j.test,X1LoggerFactory,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryElement,1,0.18181819,2,0.36363637,2,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,AbsoluteTimeDateFormat,3,0.1875,2,0.375,0,2,30,PureOverrider,PureSpecializer
org.apache.log4j.test,DRFATest,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.chainsaw,MyTableModel,2,1.1111112,15,16.666668,13,2,25,Extender,PureReplacer
org.apache.log4j.helpers,ThreadLocalMap,3,0.16666667,1,0.16666667,0,1,17,PureOverrider,PureReplacer
org.apache.log4j.lf5.viewer.configure,MRUFileManager,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr
org.apache.log4j.helpers,PatternParser$CategoryPatternConverter,3,0.2,1,0.2,0,1,14,PureOverrider,PureSpecializer
org.apache.log4j.chainsaw,LoggingReceiver$Slurper,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryExplorerModel,2,0.7692308,15,11.538462,15,0,39,PureExtender,NoOvr
org.apache.log4j.net,SocketNode,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.performance,ListVsVector$Chain,1,0.09090909,1,0.09090909,1,0,11,PureExtender,NoOvr
org.apache.log4j.performance,ListVsVector,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.jdbc,JDBCAppender,2,1.3793104,20,27.586208,16,4,25,Extender,Specializer
org.apache.log4j.lf5,LogLevelFormatException,3,0.0,0,0.0,0,0,21,Other,NoOvr
org.apache.log4j.test,MultipleAppenders,1,0.0,0,0.0,0,0,11,Other,NoOvr
org.apache.log4j.config,PropertySetterException,3,0.14285715,1,0.14285715,0,1,20,PureOverrider,PureSpecializer
org.apache.log4j.lf5.viewer,LogTable,5,0.07512521,9,0.6761269,8,1,598,Extender,PureSpecializer
org.apache.log4j,RollingFileAppender,4,0.6923077,9,6.230769,6,3,49,Extender,Specializer
org.apache.log4j,AppenderSkeleton,1,1.7272727,19,32.818184,18,1,10,Extender,PureReplacer
org.apache.log4j.lf5,LogLevel,1,0.6363636,7,4.4545455,4,3,8,Extender,PureReplacer
