Package,Base name,Inh Depth,NVI,Local G Count,NVS,New Count,Overriden G Count,Inh Count,Tag,Ovr Tag,Name
org.apache.log4j.xml,DOMConfigurator,1,1.9090909,21,40.090908,21,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5,LogRecord,1,2.1818182,24,52.36364,23,1,10,Extender,PureReplacer,Large Class
org.apache.log4j.chainsaw,MyTableModel,2,1.1111112,15,16.666668,13,2,25,Extender,PureReplacer,Large Class
org.apache.log4j.lf5.viewer.configure,MRUFileManager,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryExplorerModel,2,0.7692308,15,11.538462,15,0,39,PureExtender,NoOvr,Large Class
org.apache.log4j.jdbc,JDBCAppender,2,1.3793104,20,27.586208,16,4,25,Extender,Specializer,Large Class
org.apache.log4j,AppenderSkeleton,1,1.7272727,19,32.818184,18,1,10,Extender,PureReplacer,Large Class
org.apache.log4j,Hierarchy,1,2.0,22,44.0,22,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.net,SMTPAppender,2,1.5172414,22,33.37931,18,4,25,Extender,Specializer,Large Class
org.apache.log4j.lf5.viewer,FilteredLogTableModel,2,1.4074074,19,26.74074,18,1,26,Extender,PureReplacer,Large Class
org.apache.log4j,WriterAppender,2,1.1724138,17,19.931034,12,5,24,Extender,Specializer,Large Class
org.apache.log4j.net,SocketAppender,2,1.0344827,15,15.517241,11,4,25,Extender,Specializer,Large Class
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryNodeEditor,2,1.36,17,23.12,15,2,23,Extender,PureReplacer,Large Class
org.apache.log4j.lf5.util,DateFormatManager,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5.viewer.configure,ConfigurationManager,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryAbstractCellEditor,1,1.2727273,14,17.818182,14,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5.viewer,LogBrokerMonitor,1,9.454545,104,983.2727,104,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j,AsyncAppender,2,0.9655172,14,13.5172415,11,3,26,Extender,PureSpecializer,Large Class
org.apache.log4j,Category,1,4.090909,45,184.09091,45,0,11,PureExtender,NoOvr,Large Class
org.apache.log4j.lf5.viewer.categoryexplorer,CategoryNode,2,0.6333333,19,12.033333,16,3,57,Extender,PureReplacer,Large Class
