Family, parent name, NoC, mean NoM, dev NoM, SubBeh Tag, hgi, [DIT]
Family, ChopBoxConnector, 3, 1.0, 0.0, PureOverrider, 1.0, 2
Family, NullHandle, 1, 1.0, NaN, PureOverrider, 1.0, 3, SINGLE
Family, LineConnection, 2, 4.5, 0.7071067811865476, PureOverrider, 0.5, 3
Family, ChangeConnectionHandle, 2, 5.0, 0.0, PureOverrider, 1.0, 2
Family, Command, 9, 1.8888888888888888, 0.6009252125773316, PureOverrider, 0.8888889, 1
Family, DrawApplet, 3, 3.0, 3.4641016151377544, PureOverrider, 0.6666667, 6
Family, RectangleFigure, 2, 7.5, 4.949747468305833, Overrider, 1.0, 3
Family, AbstractFigure, 4, 24.5, 10.376254944182254, Extender, 0.75, 1
Family, StandardStorageFormat, 1, 4.0, NaN, PureOverrider, 1.0, 1, SINGLE
Family, CompositeFigure, 4, 15.25, 7.88986691902975, Overrider, 0.5, 2
Family, CreationTool, 2, 5.5, 6.363961030678928, PureOverrider, 0.5, 2
Family, TextTool, 1, 2.0, NaN, PureOverrider, 1.0, 3, SINGLE
Family, FigureTransferCommand, 5, 2.0, 0.0, PureOverrider, 0.8, 2
Family, PaletteButton, 1, 8.0, NaN, Overrider, 1.0, 6, SINGLE
Family, ActionTool, 1, 1.0, NaN, PureOverrider, 1.0, 2, SINGLE
Family, DrawApplication, 5, 6.4, 8.706319543871567, PureOverrider, 0.6, 6
Family, DecoratorFigure, 2, 7.5, 0.7071067811865476, Overrider, 1.0, 2
Family, AbstractLineDecoration, 1, 9.0, NaN, Extender, 1.0, 1, SINGLE
Family, AbstractLocator, 5, 2.0, 1.4142135623730951, PureExtender, 0.6, 1
Family, SelectionTool, 2, 5.5, 4.949747468305833, Extender, 0.5, 2
Family, AbstractTool, 11, 4.909090909090909, 3.6729972898042123, PureOverrider, 0.54545456, 1
Family, AbstractHandle, 7, 4.857142857142857, 2.8535691936340255, PureOverrider, 0.5714286, 1
Family, StandardDrawing, 1, 4.0, NaN, Overrider, 1.0, 3, SINGLE
Family, PolyLineFigure, 2, 19.0, 18.384776310850235, Extender, 1.0, 2
Family, AttributeFigure, 6, 15.666666666666666, 9.750213672872338, PureOverrider, 0.33333334, 2
Family, TextFigure, 2, 4.5, 2.1213203435596424, PureOverrider, 0.5, 3
Family, AbstractConnector, 3, 4.0, 1.7320508075688772, Overrider, 1.0, 1
Family, MDI_DrawApplication, 1, 12.0, NaN, Overrider, 1.0, 7, SINGLE
Family, LocatorHandle, 12, 1.75, 1.764549903980152, PureOverrider, 0.9166667, 2
