Family, parent name, NoC, med NoM, IQR NoM, SubBeh Tag, hgi, [DIT]
Prototype, NoM, Hamming, med Ham, IQR Ham, SubBeh Tag, mean Jac, dev Jac, Category, eqP, incP, surP, interP, diffP, outliers

Family, ChopBoxConnector, 3, 1.0, 0.0, PureOverrider, 1.0, 2
prototype hamR, 1, 0, 0.0, 0.0, PureOverrider, 1.0, 0.0, Pure, 3, 0, 0, 0, 0, 0
prototype setR, 1, 0, 0.0, 0.0, PureOverrider, 1.0, 0.0, Pure, 3, 0, 0, 0, 0, 0

Family, LineConnection, 2, 4.5, 1.0, Other, 0.5, 3
prototype hamR, 1, 7, 3.5, 1.0, PureOverrider, 0.22500000149011612, 0.03535533695198495, Heterogeneous, 0, 0, 2, 0, 0, 0
prototype setR, 1, 7, 3.5, 1.0, PureOverrider, 0.22500000149011612, 0.03535533695198495, Heterogeneous, 0, 0, 2, 0, 0, 0

Family, ChangeConnectionHandle, 2, 5.0, 0.0, PureOverrider, 1.0, 2
prototype hamR, 5, 0, 0.0, 0.0, PureOverrider, 1.0, 0.0, Pure, 2, 0, 0, 0, 0, 0
prototype setR, 5, 0, 0.0, 0.0, PureOverrider, 1.0, 0.0, Pure, 2, 0, 0, 0, 0, 0

Family, Command, 9, 2.0, 0.0, PureOverrider, 0.8888889, 1
prototype hamR, 2, 7, 0.0, 1.0, PureOverrider, 0.7777777777777778, 0.36324157862838946, HomogeneousOutlier, 6, 2, 0, 1, 0, 1
prototype setR, 1, 10, 1.0, 0.0, PureOverrider, 0.5555555555555556, 0.3004626062886658, HomogeneousOutlier, 2, 0, 6, 1, 0, 1

Family, DrawApplet, 3, 1.0, 3.0, PureOverrider, 0.6666667, 6
prototype hamR, 1, 6, 0.0, 3.0, PureOverrider, 0.7142857164144516, 0.4948716556183123, Homogeneous, 2, 0, 1, 0, 0, 0
prototype setR, 1, 6, 0.0, 3.0, PureOverrider, 0.7142857164144516, 0.4948716556183123, Homogeneous, 2, 0, 1, 0, 0, 0

Family, RectangleFigure, 2, 7.5, 7.0, Overrider, 1.0, 3
