#statement;statement;PageRank value;Rank;All Edges;Incoming Edges;Outgoing Edges
0;FUNCTION;0.00159744;271;2;1;2
1;FUNCTION_CALL;0.00159744;271;2;1;1
2;FUNCTION_CALL;0.00290444;68;2;1;1
3;FUNCTION_CALL;0.00290444;68;2;1;1
4;FUNCTION_CALL;0.00290444;68;2;1;1
5;FUNCTION_CALL;0.00290444;68;2;1;1
6;FUNCTION_CALL;0.00290444;68;2;1;1
7;FUNCTION_CALL;0.00290444;68;2;1;1
8;FUNCTION_CALL;0.00290444;68;2;1;1
9;FUNCTION_CALL;0.00290444;68;2;1;1
10;FUNCTION_CALL;0.00290444;68;2;1;1
11;FUNCTION_CALL;0.00290444;68;2;1;1
12;FUNCTION_CALL;0.00290444;68;2;1;1
13;FUNCTION_CALL;0.00290444;68;2;1;1
14;FUNCTION_CALL;0.00290444;68;2;1;1
15;FUNCTION_CALL;0.00290444;68;2;1;1
16;FUNCTION_CALL;0.00290444;68;2;1;1
17;FUNCTION_CALL;0.00290444;68;2;1;1
18;FUNCTION_CALL;0.00290444;68;2;1;1
19;FUNCTION_CALL;0.00290444;68;2;1;1
20;FUNCTION_CALL;0.00290444;68;2;1;1
21;FUNCTION_CALL;0.00290444;68;2;1;1
22;FUNCTION_CALL;0.00290444;68;2;1;1
23;FUNCTION_CALL;0.00290444;68;2;1;1
24;IF;0.00290444;68;3;1;2
25;FUNCTION_CALL;0.00159744;271;2;1;1
26;FUNCTION_CALL;0.00290444;68;2;1;1
27;END_THEN;0.00290444;68;2;1;1
28;DUMMY;0.00421144;4;3;2;1
29;FUNCTION_CALL;0.00290444;68;2;1;1
30;FUNCTION_CALL;0.000290444;345;0;0;0
31;FUNCTION_CALL;0.00290444;68;2;1;1
32;IF;0.00421144;4;3;2;1
33;IF;0.00290444;68;3;1;2
34;FUNCTION_CALL;0.00159744;271;2;1;1
35;END_THEN;0.00290444;68;2;1;1
36;DUMMY;0.00421144;4;3;2;1
37;IF;0.00290444;68;3;1;2
38;IF;0.00159744;271;3;1;2
39;FUNCTION_CALL;0.00159744;271;2;1;1
40;END_THEN;0.00290444;68;2;1;1
41;DUMMY;0.00421144;4;3;2;1
42;IF;0.00290444;68;3;1;2
43;FUNCTION_CALL;0.00159744;271;2;1;1
44;END_THEN;0.00290444;68;2;1;1
45;DUMMY;0.00421144;4;3;2;1
46;IF;0.00290444;68;3;1;2
47;FUNCTION_CALL;0.00159744;271;2;1;1
48;END_THEN;0.00290444;68;2;1;1
49;DUMMY;0.00421144;4;3;2;1
50;IF;0.00290444;68;3;1;2
51;FUNCTION_CALL;0.00159744;271;2;1;1
52;END_THEN;0.00290444;68;2;1;1
53;DUMMY;0.00421144;4;3;2;1
54;IF;0.00290444;68;3;1;2
55;END_THEN;0.00159744;271;2;1;1
56;DUMMY;0.00421144;4;3;2;1
57;END_THEN;0.00290444;68;2;1;1
58;DUMMY;0.00421144;4;3;2;1
59;IF;0.00290444;68;3;1;2
60;IF;0.00159744;271;3;1;2
61;FUNCTION_CALL;0.00159744;271;2;1;1
62;FUNCTION_CALL;0.00290444;68;2;1;1
63;END_THEN;0.00290444;68;2;1;1
64;DUMMY;0.00421144;4;3;2;1
65;END_THEN;0.00290444;68;2;1;1
66;DUMMY;0.00421144;4;3;2;1
67;IF;0.00290444;68;3;1;2
68;FUNCTION_CALL;0.00159744;271;2;1;1
69;FUNCTION_CALL;0.00290444;68;2;1;1
70;END_THEN;0.00290444;68;2;1;1
71;DUMMY;0.00421144;4;3;2;1
72;IF;0.00290444;68;3;1;2
73;FUNCTION_CALL;0.00159744;271;2;1;1
74;FUNCTION_CALL;0.00290444;68;2;1;1
75;END_THEN;0.00290444;68;2;1;1
76;DUMMY;0.00421144;4;3;2;1
77;IF;0.00290444;68;3;1;2
78;FUNCTION_CALL;0.00159744;271;2;1;1
79;END_THEN;0.00290444;68;2;1;1
80;DUMMY;0.00421144;4;3;2;1
81;IF;0.00290444;68;3;1;2
82;END_THEN;0.00159744;271;2;1;1
83;DUMMY;0.00421144;4;3;2;1
84;IF;0.00290444;68;3;1;2
85;END_THEN;0.00159744;271;2;1;1
86;DUMMY;0.00421144;4;3;2;1
87;IF;0.00290444;68;3;1;2
88;END_THEN;0.00159744;271;2;1;1
89;DUMMY;0.00421144;4;3;2;1
90;IF;0.00290444;68;3;1;2
91;FUNCTION_CALL;0.00159744;271;2;1;1
92;END_THEN;0.00290444;68;2;1;1
93;DUMMY;0.00421144;4;3;2;1
94;IF;0.00290444;68;3;1;2
95;FUNCTION_CALL;0.00159744;271;2;1;1
96;END_THEN;0.00290444;68;2;1;1
97;DUMMY;0.00421144;4;3;2;1
98;IF;0.00290444;68;3;1;2
99;FUNCTION_CALL;0.00159744;271;2;1;1
100;END_THEN;0.00290444;68;2;1;1
101;DUMMY;0.00421144;4;3;2;1
102;FUNCTION_CALL;0.00290444;68;2;1;1
103;END_THEN;0.00290444;68;2;1;1
104;DUMMY;0.00290444;68;3;1;2
105;IF;0.00159744;271;3;1;2
106;FUNCTION_CALL;0.00159744;271;2;1;1
