20,23
s,0,Statement0
s,1,Statement1
s,2,Statement2
s,3,Statement3
s,4,Statement4
s,5,Statement5
s,6,Statement6
s,7,Statement7
s,8,Statement8
s,9,Statement9
s,10,Statement10
s,11,Statement11
s,12,Statement12
s,13,Statement13
s,14,Statement14
s,15,Statement15
s,16,Statement16
s,17,Statement17
s,18,Statement18
s,19,Statement19
r,0,1
r,1,2
r,2,3
r,3,4
r,4,5
r,3,6
r,6,7
r,7,8
r,5,8
r,8,9
r,9,10
r,2,10
r,10,11
r,11,12
r,12,13
r,13,14
r,12,15
r,15,16
r,16,17
r,14,17
r,17,18
r,18,19
r,11,19
