ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,33.0,17.0,16.0,16.0,0.0,4.0,0.0,0.0,33.0,0.0,1.0,1036.0,1.0,1.0,0.0,-7.0,240.0,104.0,1.0666666666666667,0.2916666666666667,0.0,0.0,13.0,13.0,24.0,3.0,17.0,17.0,17.0,7.0,0.0,1.0,0.0,0.0,61.0,17.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,74.0,17.0,0.0,1.0,org.eclipse.core.boot.BootLoader
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,61.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,5.0,0.0,0.0,org.eclipse.core.boot.IInstallInfo
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,org.eclipse.core.boot.IPlatformRunnable
1.0,0.0,1.0,1.1089449541284404,0.9999999999999997,672.0,334.0,674.0,6.0,1.0,28.0,0.29411764705882354,0.0,672.0,1.0,1.0,1036.0,11.0,4.0,180.0,-3.0,1262.0,442.0,0.9538950712696926,0.046511627906976744,8.0,0.0,17.0,20.0,43.0,15.0,39.0,41.0,54.0,2.0,2.0,1.0,2.0,2.0,61.0,41.0,1.0,3.0,6.0,40.0,24.0,2.0,148.0,0.6666666666666666,185.0,0.3333333333333333,0.7459677419354839,0.7014218009478673,148.0,0.04878048780487805,1.0,821.0,41.0,0.12769010043041606,0.0,org.eclipse.core.internal.boot.DelegatingURLClassLoader
0.0,1.0,1.0,1.1089449541284404,0.9999999999999998,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
0.0,1.0,1.0,1.1089449541284404,1.0,33.0,17.0,16.0,16.0,0.0,4.0,0.0,0.0,33.0,0.0,1.0,1036.0,1.0,1.0,0.0,-7.0,240.0,104.0,1.0666666666666667,0.2916666666666667,0.0,0.0,13.0,13.0,24.0,3.0,17.0,17.0,17.0,7.0,0.0,1.0,0.0,0.0,61.0,17.0,1.0,0.0,4.0,3.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,74.0,17.0,0.0,1.0,org.eclipse.core.boot.BootLoader
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,1.0,61.0,5.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,12.0,5.0,0.0,0.0,org.eclipse.core.boot.IInstallInfo
0.0,0.0,0.0,1.1089449541284404,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1036.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,org.eclipse.core.boot.IPlatformRunnable
1.0,0.0,1.0,1.1089449541284404,0.9999999999999997,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,IR,LCOM1,LCOM2,LCOM5,MFA,MOA,McCabe,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,NOTI,NPrM,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,USELESS,WMC,WMC1,cohesionAttributes,connectivity,Entities
