Effectiveness,Extendibility,Flexibility,Functionality,Reusability,Understandability,Entities
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.AbstractContextStore
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.AbstractContextStructureBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.AbstractRelationProvider
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.ContextCorePlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IContextStoreListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IDegreeOfInterest
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IDegreeOfSeparation
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IImplicitlyIntersting
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionContext
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionContextListener
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionContextReader
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionContextWriter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionElement
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionObject
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.IInteractionRelation
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.core.InterestComparator
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.AbstractAutoFocusViewAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.AbstractContextUiBridge
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.AbstractFocusViewAction
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.ContextUiPlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.InterestFilter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.context.ui.InterestSorter
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.AbstractReportFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.AttachmentPartSource
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaAttachmentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaAttributeFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaClient
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaClientFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaClientManager
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaCorePlugin
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaMessages
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaReportElement
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaRepositoryConnector
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaRepositoryQuery
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaStatus
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaTask
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.BugzillaTaskDataHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.IBugzillaConstants
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.MultiBugReportFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.RepositoryConfiguration
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.RepositoryConfigurationFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.RepositoryQueryResultsFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.RepositoryReportFactory
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.SaxBugReportContentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.SaxBugzillaQueryContentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.SaxConfigurationContentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.SaxMultiBugReportContentHandler
-1.0,-1.0,-1.0,-0.9999999999999999,-1.0,0.99,org.eclipse.mylyn.internal.bugzilla.core.UnrecognizedReponseException
