Entities,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,LCOM1,LCOM2,LCOM5,MFA,MOA,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,WMC,WMC1,cohesionAttributes,connectivity
org.eclipse.core.internal.watson.IDeltaFilter,0,0,0,101.9422311,0,0,0,0,1,1,12,0,0,0,0,0,689,11,4,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,1,1,31,1,0,1,1,2,10,0.666666667,120,0.333333333,0.882352941,0.76119403,51,0,1,1,0,0
org.eclipse.core.internal.watson.IDeltaVisitor,0,0,0,102.2310757,0,0,0,0,1,0,12,0,0,0,0,0,689,11,4,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,31,1,0,0,5,2,10,0.666666667,120,0.333333333,0.882352941,0.76119403,51,0,5,1,0,0
org.eclipse.core.internal.watson.IElementContentVisitor,0,0,0,102.3406375,0,0,0,0,1,0,12,0,0,0,0,0,689,11,4,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,31,1,0,0,3,2,10,0.666666667,120,0.333333333,0.882352941,0.76119403,51,0,4,1,0,0
org.eclipse.update.ui.forms.internal.IForm,0,0,0,10.2486631,0,0,0,0,21,4,13,0,0,0,0,0,591,32,1,0,0,0,0,0,0,0,0,21,30,21,21,21,0,0,0,1,5,26,21,0,21,1,9,12,0.1,116,0.9,0.539534884,0.407035176,81,0,37,21,0,0
org.eclipse.core.internal.watson.IElementInfoFlattener,0,0,0,102.6215139,0,0,0,0,2,1,12,0,0,0,0,0,689,11,4,0,0,0,0,0,0,0,0,2,16,2,2,2,0,0,0,1,1,31,2,0,2,3,2,10,0.666666667,120,0.333333333,0.882352941,0.76119403,51,0,8,2,0,0
org.eclipse.core.resources.ICommand,0,0,0,103.1673307,0,0,0,0,4,2,16,0,0,0,0,0,689,369,21,0,0,0,0,0,0,0,0,4,31,4,4,4,0,0,0,1,1,31,4,0,4,1,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,8,4,0,0
org.eclipse.pde.internal.build.ant.ITask,0,0,0,10.37391304,0,1,0,0,1,1,12,0,0,0,0,0,482,5,0,0,0,0,0,0,0,0,0,1,6,1,1,1,0,0,0,2,2,23,1,0,1,2,1,11,0,35,1,0.777777778,0.642857143,18,0,2,1,0,0
org.eclipse.debug.core.model.IDisconnect,0,0,0,10.38541667,0,0,0,0,3,2,1,0,0,0,0,0,523,5,4,0,0,0,0,0,0,0,0,3,26,3,3,3,0,0,0,1,1,21,3,0,0,0,12,3,0.25,1,0.75,1,1,4,0,3,3,0,0
org.eclipse.core.resources.IFileModificationValidator,0,0,0,104.6155378,0,0,0,0,2,0,16,0,0,0,0,0,689,369,21,0,0,0,0,0,0,0,0,2,31,2,2,2,0,0,0,0,0,31,2,0,0,2,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,7,2,0,0
org.eclipse.team.core.IFileTypeInfo,0,0,0,1.054347826,0,0,0,0,2,1,12,0,0,0,0,0,499,5,2,0,0,0,0,0,0,0,0,2,6,2,2,2,0,0,0,1,1,23,2,0,2,0,0,11,1,30,0,0.9375,0.925925926,25,0,3,2,0,0
org.eclipse.core.resources.IMarkerDelta,0,0,0,106.1633466,0,0,0,0,12,1,16,0,0,0,1,0,689,369,21,0,0,0,0,0,0,0,0,12,31,12,12,12,0,0,0,1,1,31,12,0,12,2,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,26,12,0,0
org.eclipse.core.resources.IProjectDescription,0,0,0,107.2689243,0,0,0,0,14,2,16,0,0,0,0,0,689,369,21,0,0,0,0,0,0,1,1,14,31,14,14,14,0,0,0,1,1,31,14,0,13,1,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,28,14,0,0
org.eclipse.pde.core.IEditable,0,0,0,1.077568134,0,0,0,0,4,5,4,0,0,0,0,0,618,2,31,0,0,0,0,0,0,0,0,4,9,4,4,4,0,0,0,4,6,27,4,0,4,1,1,7,0.96875,6,0.03125,1,1,10,0,5,4,0,0
org.eclipse.core.resources.IProjectNature,0,0,0,107.810757,0,0,0,0,4,0,16,0,0,0,0,0,689,369,21,0,0,0,0,0,0,0,0,4,31,4,4,4,0,0,0,0,0,31,4,0,0,1,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,6,4,0,0
org.eclipse.core.resources.IProjectNatureDescriptor,0,0,0,108.0816733,0,0,0,0,4,1,16,0,0,0,0,0,689,369,21,0,0,0,0,0,0,0,0,4,31,4,4,4,0,0,0,1,1,31,4,0,4,0,3,14,0.875,90,0.125,0.989010989,0.983870968,61,0,8,4,0,0
org.eclipse.search.internal.core.ISearchScope,0,0,0,1.086294416,0,0,0,0,2,3,1,0,0,0,0,0,682,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,1,3,23,2,0,2,1,1,1,0.5,3,0.5,1,1,2,0,4,2,0,0
