Entities,ACAIC,ACMIC,AID,ANA,CAM,CBO,CBOin,CBOout,CIS,CLD,CP,DAM,DCAEC,DCC,DCMEC,DIT,DSC,EIC,EIP,ICHClass,LCOM1,LCOM2,LCOM5,MFA,MOA,NAD,NADExtended,NCM,NCP,NMA,NMD,NMDExtended,NMI,NMO,NOA,NOC,NOD,NOH,NOM,NOP,NOPM,NOParam,PIIR,PP,REIP,RFP,RPII,RRFP,RRTP,RTP,SIX,WMC,WMC1,cohesionAttributes,connectivity
org.eclipse.debug.core.IStreamListener,0,0,0,10.28674699,0,0,0,0,1,0,6,0,0,0,0,0,568,12,7,0,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,0,0,21,1,0,0,2,2,3,0.777777778,24,0.222222222,0.923076923,0.888888889,16,0,3,1,0,0
org.eclipse.team.internal.ccvs.core.IServerConnection,0,0,0,10.30470348,0,0,0,0,4,1,22,0,0,0,0,0,663,14,24,0,0,0,0,0,0,0,0,4,27,4,4,4,0,0,0,2,2,31,4,0,4,1,4,19,0.857142857,257,0.142857143,0.966165414,0.9,81,0,7,4,0,0
org.eclipse.jface.text.IDocumentPartitionerExtension,0,0,0,10.40253165,0,0,0,0,1,0,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,1,45,1,1,1,0,0,0,0,0,27,1,0,0,1,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,3,1,0,0
org.eclipse.team.internal.ccvs.core.IUserAuthenticator,0,0,0,10.75255624,0,0,0,0,1,0,22,0,0,0,0,0,663,14,24,0,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,31,1,0,0,3,4,19,0.857142857,257,0.142857143,0.966165414,0.9,81,0,4,1,0,0
org.eclipse.jface.text.IDocumentPartitioningListener,0,0,0,10.81012658,0,0,0,0,1,0,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,1,45,1,1,1,0,0,0,0,0,27,1,0,0,1,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,2,1,0,0
org.eclipse.pde.core.IEditable,0,0,0,1.091537133,0,0,0,0,4,5,14,0,0,0,0,0,775,2,40,0,0,0,0,0,0,0,0,4,9,4,4,4,0,0,0,6,8,28,4,0,4,1,1,9,0.975609756,37,0.024390244,1,1,15,0,5,4,0,0
org.eclipse.pde.internal.runtime.IHelpContextIds,0,0,0,1.104986877,0,0,0,0,0,0,6,0,0,0,0,0,613,3,0,0,0,0,0,0,0,3,3,0,4,0,0,0,0,0,0,0,0,22,0,0,0,0,0,8,0,23,0,0.958333333,0.9375,15,0,0,0,NaN,0
org.eclipse.jface.text.IDocumentPartitioningListenerExtension,0,0,0,11.05063291,0,0,0,0,1,0,1,0,0,0,0,0,540,18,4,0,0,0,0,0,0,0,0,1,45,1,1,1,0,0,0,0,0,27,1,0,0,2,17,1,0.19047619,6,0.80952381,0.060606061,0.234848485,31,0,3,1,0,0
org.eclipse.team.internal.ccvs.core.IUserInfo,0,0,0,11.06134969,0,0,0,0,4,2,22,0,0,0,1,0,663,14,24,0,0,0,0,0,0,0,0,4,27,4,4,4,0,0,0,2,2,31,4,0,4,1,4,19,0.857142857,257,0.142857143,0.966165414,0.9,81,0,7,4,0,0
org.eclipse.help.IContext,0,0,0,1.107142857,0,0,0,0,2,2,0,0,1,0,0,0,637,1,9,0,0,0,0,0,0,0,0,2,6,2,2,2,0,0,0,2,2,27,2,0,2,0,1,0,0.9,0,0.1,0,0,0,0,4,2,0,0
