Class,AntiSingleton_NotClassGlobalVariable,Blob_ControllerClass,Blob_DataClass,Blob_LargeClass,Blob_LowCohesion,ClassDataShouldBePrivate_FieldPublic,ComplexClass_LargeClassOnly,LargeClass_LargeClassOnly,LargeClass_LowCohesionOnly,LazyClass_FewMethods,LazyClass_NotComplexClass,LongMethod_LongMethodClass,LongParameterList_LongParameterListClass,SpaghettiCode_ClassGlobalVariable,SpaghettiCode_LongMethod,SpaghettiCode_MethodNoParameter,SpaghettiCode_NoInheritance,SpeculativeGenerality_AbstractClass,SpeculativeGenerality_OneChildClass,SwissArmyKnife_MultipleInterface
org.eclipse.core.boot.BootLoader,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
org.eclipse.core.boot.IPlatformConfiguration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.boot.IPlatformRunnable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.AbstractHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.eclipse.core.commands.AbstractHandlerWithState,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.AbstractParameterValueConverter,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.Category,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.CategoryEvent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.Command,1,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
org.eclipse.core.commands.CommandEvent,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
org.eclipse.core.commands.CommandManager,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
org.eclipse.core.commands.CommandManagerEvent,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
org.eclipse.core.commands.ExecutionEvent,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ExecutionException,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.HandlerEvent,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ICategoryListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ICommandListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ICommandManagerListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IExecutionListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IExecutionListenerWithChecks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IHandler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IHandlerAttributes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IHandlerListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.INamedHandleStateIds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IObjectWithState,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IParameter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IParameterTypeListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IParameterValues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.IStateListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ITypedParameter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.NamedHandleObjectWithState,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.eclipse.core.commands.NotEnabledException,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.NotHandledException,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ParameterType,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ParameterTypeEvent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ParameterValueConversionException,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ParameterValuesException,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.Parameterization,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.ParameterizedCommand,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.SerializationException,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.AbstractBitSetEvent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.AbstractHandleObjectEvent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.AbstractNamedHandleEvent,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.CommandException,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.EventManager,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.HandleObject,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.HandleObjectManager,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.IIdentifiable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.NamedHandleObject,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.NamedHandleObjectComparator,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.common.NotDefinedException,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.Context,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.ContextEvent,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.ContextManager,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.ContextManagerEvent,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.IContextListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.contexts.IContextManagerListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.AbstractOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
org.eclipse.core.commands.operations.DefaultOperationHistory,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IAdvancedUndoableOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IAdvancedUndoableOperation2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.ICompositeOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IContextReplacingOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IOperationApprover,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IOperationApprover2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IOperationHistory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IOperationHistoryListener,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IUndoContext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.IUndoableOperation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.LinearUndoEnforcer,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.LinearUndoViolationDetector,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
org.eclipse.core.commands.operations.ObjectUndoContext,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
org.eclipse.core.commands.operations.OperationHistoryEvent,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
